Holdout,Feature,Importance
1,item_cnt_day_lag1,0.48902956370618705
1,item_category_id,0.13819402959634056
1,item_cnt_day_lag2,0.08135784838928828
1,item_cnt_day_lag3,0.05233319566036002
1,item_cnt_day_lag6,0.036894679440674406
1,item_cnt_day_lag4,0.03010705973184807
1,item_cnt_day_lag5,0.027332386965162984
1,item_cnt_day_lag8,0.02562306711282961
1,item_cnt_day_lag11,0.023698232647995414
1,item_cnt_day_lag7,0.023424637579040168
1,shop_id,0.01698088575493829
1,item_cnt_day_lag12,0.015508168309032951
1,center,0.013051856889733615
1,item_cnt_day_lag9,0.012195466531077085
1,item_cnt_day_lag10,0.008616708969925311
1,shop_category,0.001543893405755283
1,sec,0.0014293932754165578
1,yakutsk,0.0011092811221707097
1,moscow,0.0009786792618404032
1,city,0.0005964592904069658
1,tc,0.0004558033008849967
1,shopping,2.557297038509292e-05
1,central,0.0
1,ii,0.0
1,mega,0.0
1,Year,0.0
1,rostovnadonu,0.0
1,sc,0.0
1,Month,0.0
1,tk,0.0
1,trc,0.0
1,tyumen,0.0
1,mall,-0.00019529865101413848
1,voronezh,-0.0002915712602797076
2,item_cnt_day_lag1,0.455840785317536
2,item_category_id,0.1312562357445017
2,item_cnt_day_lag2,0.08602300257487233
2,item_cnt_day_lag7,0.043641604252471045
2,item_cnt_day_lag4,0.03466355380121527
2,item_cnt_day_lag3,0.03375267606090414
2,item_cnt_day_lag8,0.032442286456050795
2,item_cnt_day_lag5,0.03187853166802072
2,shop_id,0.030477488314449488
2,item_cnt_day_lag6,0.0267208386463519
2,item_cnt_day_lag11,0.021434203507767913
2,center,0.019095267631550172
2,item_cnt_day_lag12,0.018325858265391494
2,item_cnt_day_lag10,0.012850487942035544
2,item_cnt_day_lag9,0.012406694860825034
2,shop_category,0.004310167985551414
2,yakutsk,0.002073892529014642
2,sec,0.0011390177777514203
2,city,0.001058369232033894
2,moscow,0.0010501555539852241
2,shopping,0.00015766172682058375
2,tc,1.2300004655714776e-05
2,tyumen,0.0
2,trc,0.0
2,tk,0.0
2,Year,0.0
2,central,0.0
2,rostovnadonu,0.0
2,Month,0.0
2,mall,0.0
2,ii,0.0
2,sc,0.0
2,mega,-5.182382435484275e-05
2,voronezh,-0.0005592560294016263
3,item_cnt_day_lag1,0.5436073207487961
3,item_category_id,0.12523244368159836
3,item_cnt_day_lag2,0.07970413008129762
3,item_cnt_day_lag3,0.047569742068350435
3,item_cnt_day_lag5,0.027914042166762115
3,item_cnt_day_lag7,0.026727279979586443
3,item_cnt_day_lag10,0.02248872696528106
3,item_cnt_day_lag6,0.021676578044379585
3,item_cnt_day_lag4,0.019243546626707013
3,item_cnt_day_lag12,0.0188962668898723
3,shop_id,0.018491828266517178
3,item_cnt_day_lag9,0.015156309944835725
3,item_cnt_day_lag11,0.014488229461732019
3,item_cnt_day_lag8,0.006523985188283061
3,shop_category,0.00410775540582341
3,center,0.003436956737331177
3,yakutsk,0.0029895151351574255
3,sec,0.0008207508614495587
3,city,0.0008200575035007319
3,tc,0.00046368927269820406
3,voronezh,0.00021077733628191471
3,Year,0.0
3,tyumen,0.0
3,trc,0.0
3,shopping,0.0
3,Month,0.0
3,rostovnadonu,0.0
3,mall,0.0
3,ii,0.0
3,central,0.0
3,sc,0.0
3,tk,-1.835663852429041e-06
3,mega,-2.273023745166915e-05
3,moscow,-0.0005453664649374026
4,item_cnt_day_lag1,0.4572752288407769
4,item_category_id,0.1695656228087329
4,item_cnt_day_lag2,0.07412603312098717
4,item_cnt_day_lag3,0.0487278809460126
4,item_cnt_day_lag6,0.029952546609193647
4,item_cnt_day_lag9,0.02778178373430284
4,shop_id,0.027452867520681875
4,item_cnt_day_lag4,0.02618586238651538
4,item_cnt_day_lag12,0.022234632733904528
4,item_cnt_day_lag11,0.02180548730986528
4,item_cnt_day_lag10,0.02054534980712683
4,item_cnt_day_lag7,0.01854515462930079
4,item_cnt_day_lag5,0.018129910556797593
4,item_cnt_day_lag8,0.014098681788702834
4,center,0.011654644535379535
4,shop_category,0.006171543586106999
4,yakutsk,0.005034389562113441
4,city,0.0004997834208837867
4,voronezh,0.0004917904263363889
4,sec,0.0001769541795506504
4,tc,0.0001637857434313398
4,tyumen,0.0
4,trc,0.0
4,tk,0.0
4,shopping,0.0
4,Month,0.0
4,sc,0.0
4,mega,0.0
4,mall,0.0
4,ii,0.0
4,central,0.0
4,Year,0.0
4,rostovnadonu,0.0
4,moscow,-0.0006199342467032965
5,item_cnt_day_lag1,0.4812791015232068
5,item_category_id,0.11961197966625126
5,item_cnt_day_lag2,0.08184477060213363
5,item_cnt_day_lag3,0.04727598649286273
5,shop_id,0.03573145987063694
5,item_cnt_day_lag4,0.030040102372995803
5,item_cnt_day_lag6,0.029987339378117327
5,item_cnt_day_lag8,0.027421465497843096
5,item_cnt_day_lag9,0.025644055716705538
5,item_cnt_day_lag12,0.02453534398928469
5,item_cnt_day_lag11,0.023056101201119696
5,item_cnt_day_lag10,0.02112234999316283
5,item_cnt_day_lag5,0.017574769809338604
5,item_cnt_day_lag7,0.017078774303661646
5,center,0.009969861138835395
5,shop_category,0.003923683969293416
5,city,0.00125339878366601
5,yakutsk,0.0010094490564041786
5,sec,0.0006600379775063987
5,voronezh,0.000512298431752876
5,mega,0.0002072495117448137
5,tc,0.00010997582435920272
5,moscow,0.00010272575437528941
5,mall,4.771913474185081e-05
5,tyumen,0.0
5,trc,0.0
5,tk,0.0
5,Month,0.0
5,shopping,0.0
5,sc,0.0
5,ii,0.0
5,central,0.0
5,Year,0.0
5,rostovnadonu,0.0
