Holdout,Feature,Importance
1,item_cnt_day_lag1,0.39530415945123526
1,item_category_id,0.21511682836957374
1,item_cnt_day_lag2,0.07674219737639933
1,shop_id,0.0585715794178624
1,item_cnt_day_lag6,0.04143010817539147
1,item_cnt_day_lag7,0.03841522526431763
1,item_cnt_day_lag3,0.036069358301347915
1,item_cnt_day_lag9,0.02771226563869371
1,item_cnt_day_lag10,0.022440141305684932
1,item_cnt_day_lag4,0.02129842028025234
1,item_cnt_day_lag5,0.020514312174857875
1,item_cnt_day_lag8,0.019470815011814385
1,item_cnt_day_lag12,0.014683850164317684
1,item_cnt_day_lag11,0.012230739068251352
1,Year,0.0
1,Month,0.0
2,item_cnt_day_lag1,0.45641885327988974
2,item_category_id,0.18981670260212333
2,item_cnt_day_lag2,0.07419796546847875
2,shop_id,0.0629790016214451
2,item_cnt_day_lag4,0.035270302485799855
2,item_cnt_day_lag5,0.031275685222320125
2,item_cnt_day_lag3,0.030911530961184
2,item_cnt_day_lag6,0.025772542847244166
2,item_cnt_day_lag7,0.02497698520698713
2,item_cnt_day_lag11,0.019091824701216027
2,item_cnt_day_lag8,0.01661336164317504
2,item_cnt_day_lag12,0.013784345169409443
2,item_cnt_day_lag10,0.012540330643639193
2,item_cnt_day_lag9,0.0063505681470881
2,Year,0.0
2,Month,0.0
3,item_cnt_day_lag1,0.43197436986833293
3,item_category_id,0.14965261753590922
3,item_cnt_day_lag2,0.10481623473929932
3,shop_id,0.057404637019747136
3,item_cnt_day_lag3,0.05336617633484285
3,item_cnt_day_lag5,0.0401812188072885
3,item_cnt_day_lag8,0.0319697246690528
3,item_cnt_day_lag6,0.02552204909449126
3,item_cnt_day_lag4,0.025054001167051167
3,item_cnt_day_lag9,0.02309323482082271
3,item_cnt_day_lag7,0.0196828158279348
3,item_cnt_day_lag12,0.01261549651456945
3,item_cnt_day_lag10,0.012441880205554983
3,item_cnt_day_lag11,0.012225543395102852
3,Year,0.0
3,Month,0.0
4,item_cnt_day_lag1,0.470674335935152
4,item_category_id,0.16639457982250272
4,item_cnt_day_lag2,0.06430731245855528
4,shop_id,0.05302933481614354
4,item_cnt_day_lag3,0.03877502422931878
4,item_cnt_day_lag5,0.031051114367789914
4,item_cnt_day_lag9,0.027784843839739982
4,item_cnt_day_lag7,0.02775177163924617
4,item_cnt_day_lag12,0.023097399704470785
4,item_cnt_day_lag6,0.022547788891481752
4,item_cnt_day_lag10,0.020972530162638187
4,item_cnt_day_lag8,0.019154031961117018
4,item_cnt_day_lag11,0.019061601130222226
4,item_cnt_day_lag4,0.015398331041621655
4,Year,0.0
4,Month,0.0
5,item_cnt_day_lag1,0.34871999925951214
5,item_category_id,0.18408181956027916
5,item_cnt_day_lag2,0.08715251103374605
5,shop_id,0.05452508183238478
5,item_cnt_day_lag3,0.052861608632944826
5,item_cnt_day_lag10,0.04245475938154943
5,item_cnt_day_lag5,0.0413174370777442
5,item_cnt_day_lag8,0.039405874377491976
5,item_cnt_day_lag4,0.03745114202653191
5,item_cnt_day_lag6,0.030047230418936366
5,item_cnt_day_lag9,0.028949654580648635
5,item_cnt_day_lag7,0.02485901314089189
5,item_cnt_day_lag11,0.015683939139741615
5,item_cnt_day_lag12,0.012489929537597035
5,Year,0.0
5,Month,0.0
