Holdout,Feature,Importance
1,item_cnt_day_lag1,0.45060076341990424
1,item_category_id,0.14486447007414882
1,item_cnt_day_lag2,0.08089976069066007
1,item_cnt_day_lag3,0.0588460854660363
1,shop_id,0.05168376412853418
1,item_cnt_day_lag5,0.03718080164914203
1,item_cnt_day_lag6,0.03608275079486809
1,item_cnt_day_lag7,0.027850609053253036
1,item_cnt_day_lag10,0.026730416722384222
1,item_cnt_day_lag8,0.02283045934202459
1,item_cnt_day_lag4,0.017682977963296907
1,item_cnt_day_lag12,0.016739638378282552
1,item_cnt_day_lag9,0.015209008846137191
1,item_cnt_day_lag11,0.012798493471327749
1,Year,0.0
1,Month,0.0
2,item_cnt_day_lag1,0.48125351844294084
2,item_category_id,0.15258210362633745
2,shop_id,0.05518771939291772
2,item_cnt_day_lag2,0.05180252539936861
2,item_cnt_day_lag4,0.047597078092868034
2,item_cnt_day_lag3,0.042802315344546336
2,item_cnt_day_lag7,0.03361161448806458
2,item_cnt_day_lag6,0.023344670417905538
2,item_cnt_day_lag10,0.023111642809554446
2,item_cnt_day_lag5,0.022394049370023567
2,item_cnt_day_lag9,0.019561619117158775
2,item_cnt_day_lag8,0.01630714640957275
2,item_cnt_day_lag12,0.015342730040002023
2,item_cnt_day_lag11,0.01510126704873931
2,Year,0.0
2,Month,0.0
3,item_cnt_day_lag1,0.41823548926799514
3,item_category_id,0.15630192212075822
3,item_cnt_day_lag2,0.08471861250089052
3,item_cnt_day_lag3,0.051589264441630395
3,item_cnt_day_lag7,0.04371082834478182
3,item_cnt_day_lag5,0.04323424258354953
3,shop_id,0.038623998623177544
3,item_cnt_day_lag6,0.03192890147697994
3,item_cnt_day_lag8,0.02820726741224664
3,item_cnt_day_lag4,0.026761663285616525
3,item_cnt_day_lag10,0.021378018113367904
3,item_cnt_day_lag12,0.02053243565530987
3,item_cnt_day_lag9,0.018645586150324318
3,item_cnt_day_lag11,0.01613177002337163
3,Year,0.0
3,Month,0.0
4,item_cnt_day_lag1,0.43177052635417024
4,item_category_id,0.18762426327596965
4,item_cnt_day_lag2,0.06501155222756104
4,shop_id,0.05213380914483697
4,item_cnt_day_lag3,0.046413869438089825
4,item_cnt_day_lag5,0.03815129507129707
4,item_cnt_day_lag6,0.031215027398576248
4,item_cnt_day_lag9,0.030789555476136207
4,item_cnt_day_lag8,0.02485937179034928
4,item_cnt_day_lag4,0.023734906795880965
4,item_cnt_day_lag7,0.022147567983518957
4,item_cnt_day_lag10,0.017256238755104944
4,item_cnt_day_lag11,0.015991393194942447
4,item_cnt_day_lag12,0.012900623093566132
4,Year,0.0
4,Month,0.0
5,item_cnt_day_lag1,0.4108285365068241
5,item_category_id,0.16627721328769668
5,item_cnt_day_lag2,0.09343413597479457
5,shop_id,0.062273592539619144
5,item_cnt_day_lag3,0.05257843072934073
5,item_cnt_day_lag4,0.03768768567257174
5,item_cnt_day_lag8,0.03217434159906117
5,item_cnt_day_lag12,0.026131235498161237
5,item_cnt_day_lag9,0.024795005451786874
5,item_cnt_day_lag10,0.023141663591426498
5,item_cnt_day_lag11,0.021252601181509855
5,item_cnt_day_lag6,0.019582667587386294
5,item_cnt_day_lag5,0.01663632836745925
5,item_cnt_day_lag7,0.013206562012361872
5,Year,0.0
5,Month,0.0
