Feature,Importance
item_cnt_day_lag1,0.7938302586880444
item_cnt_day_lag2,0.07484784240588103
item_cnt_day_lag3,0.037282500947129406
shop_id,0.03361322442741785
item_category_id,0.026666530558078338
item_cnt_day_lag10,0.008630939212855227
item_cnt_day_lag8,0.0075962443117113185
item_cnt_day_lag5,0.0072683216394467155
item_cnt_day_lag9,0.005486133498130197
item_cnt_day_lag4,0.002888138753979013
item_cnt_day_lag11,0.002077693577863763
item_id,0.001825475918284518
Month,0.0
Year,0.0
item_cnt_day_lag6,-1.3396468327577053e-05
item_cnt_day_lag7,-0.0008655539427686842
item_cnt_day_lag12,-0.0011343535277254242
