Feature,Importance
item_cnt_day_lag1,0.677688188907235
item_category_id,0.09454879037526398
item_cnt_day_lag2,0.07857596883267608
shop_id,0.05484218165017501
item_cnt_day_lag3,0.02834175351711785
item_cnt_day_lag4,0.01237090514960131
item_cnt_day_lag5,0.011421185082582474
item_cnt_day_lag6,0.009423133761390649
item_cnt_day_lag8,0.008959183097226512
item_cnt_day_lag10,0.007375003206468306
item_cnt_day_lag7,0.006005295754728258
item_cnt_day_lag9,0.005888357156682561
item_cnt_day_lag12,0.0035241177539444453
item_cnt_day_lag11,0.0010359357549075427
Year,0.0
Month,0.0
