Holdout,Feature,Importance
1,item_cnt_day_lag1,0.4710200470304072
1,item_cnt_day_lag2,0.09240111994165846
1,item_cnt_day_lag3,0.04968455353119185
1,item_cnt_day_lag5,0.04169972442821026
1,item_category_id,0.03835138468198991
1,item_cnt_day_lag4,0.03772632554967313
1,item_cnt_day_lag7,0.030400076435877384
1,item_cnt_day_lag8,0.028653366815490588
1,item_cnt_day_lag6,0.026918864860861445
1,games,0.02193196820063774
1,shop_id,0.021185546183037262
1,center,0.02114252666195241
1,item_cnt_day_lag11,0.018466326422945958
1,shop_category,0.017866462522784145
1,item_cnt_day_lag12,0.015693197978259864
1,item_cnt_day_lag10,0.01562478618994325
1,blu,0.008774278215183765
1,yakutsk,0.006818812895554829
1,pc,0.006814541134775964
1,gifts,0.006228503846602397
1,item_cnt_day_lag9,0.005391197698129001
1,cards,0.004509587695251899
1,ps4,0.003720920688931788
1,moscow,0.0025701156583890247
1,books,0.0022442952243816464
1,sec,0.0014787097025310827
1,audiobooks,0.0014495974040269063
1,city,0.0008701266771211123
1,1c,0.0006119091715659857
1,voronezh,0.00038477904641077715
1,digital,0.00017566006887727022
1,tc,0.00011060836521489216
1,music,5.6872239969447674e-05
1,mega,3.708942847053e-05
1,sc,3.6117863916747575e-05
1,edition,2.6984626504199466e-05
1,payment,0.0
1,movies,0.0
1,ps2,0.0
1,game,0.0
1,ps3,0.0
1,psp,0.0
1,psvita,0.0
1,ray,0.0
1,trc,0.0
1,figure,0.0
1,consoles,0.0
1,tyumen,0.0
1,tk,0.0
1,rostovnadonu,0.0
1,mall,0.0
1,ii,0.0
1,central,0.0
1,Month,0.0
1,Year,0.0
1,xbox,0.0
1,shopping,-7.825295787944927e-05
1,360,-0.00012132889803487537
1,accessories,-0.00023553797826707265
1,one,-0.0003045623132813465
1,program,-0.0003373029392673744
2,item_cnt_day_lag1,0.5337419617453953
2,item_cnt_day_lag2,0.09775086938207227
2,item_cnt_day_lag3,0.04942942255872837
2,item_category_id,0.045878386098388395
2,item_cnt_day_lag7,0.03584391191849638
2,item_cnt_day_lag8,0.02643780142753243
2,item_cnt_day_lag4,0.02634131733304577
2,item_cnt_day_lag5,0.02468847618432905
2,shop_id,0.02446856554135527
2,games,0.02340690723859629
2,item_cnt_day_lag12,0.019429011030368735
2,item_cnt_day_lag9,0.018356218781490397
2,item_cnt_day_lag10,0.017666656683596734
2,item_cnt_day_lag11,0.01718943518928337
2,item_cnt_day_lag6,0.012245566155935576
2,center,0.007046894805372392
2,shop_category,0.00698608689015214
2,gifts,0.005231362564248361
2,ps4,0.0034981521255642006
2,yakutsk,0.003410493170568161
2,blu,0.003007549173015447
