Holdout,Feature,Importance
1,item_cnt_day_lag1,0.47151337554664174
1,months_since_sale,0.3444924386257391
1,item_cnt_day_lag2,0.06178532115834234
1,item_cnt_day_lag3,0.028892970972116218
1,item_category_id,0.02021044717249616
1,shop_name_en_center,0.015407745339196312
1,item_cnt_day_lag4,0.010100316483390869
1,item_cnt_day_lag6,0.007987264263062297
1,shop_id,0.006997526235762636
1,item_cnt_day_lag5,0.0068358784533974195
1,item_category_name_en_games pc,0.005797721210170157
1,item_category_name_en_games,0.005097405772306727
1,shop_category,0.003229276374276922
1,item_cnt_day_lag7,0.002943215744601664
1,item_cnt_day_lag8,0.0020927780618096785
1,item_category_name_en_blu ray,0.001311057660784481
1,item_category_name_en_music,0.001136268897533719
1,item_cnt_day_lag11,0.0010534369970428168
1,shop_name_en_yakutsk,0.0010326691575238008
1,item_cnt_day_lag12,0.0006116834897065673
1,item_category_name_en_ps4,0.00046683340778774925
1,item_category_name_en_payment cards,0.0004630711010773406
1,shop_name_en_shopping center,0.00044508908691796666
1,shop_name_en_rostovnadonu,0.00040267669880626354
1,item_category_name_en_gifts,0.00031689448215835027
1,shop_name_en_moscow,0.0003143806164399369
1,item_category_name_en_program,0.00028022548343171116
1,item_category_name_en_ps3,0.00021612264910705642
1,shop_name_en_moscow shopping,9.902025342756954e-05
1,item_category_name_en_xbox one,8.267371687985946e-05
1,shop_name_en_tyumen,5.727103585491929e-05
1,item_cnt_day_lag9,1.3445970783876754e-05
1,item_category_name_en_psvita,1.089926055287238e-05
1,shop_name_en_sc,1.0453211566089464e-05
1,item_category_name_en_edition,0.0
1,item_category_name_en_psp,0.0
1,item_category_name_en_1c,0.0
1,item_category_name_en_movies,0.0
1,item_category_name_en_figure,0.0
1,item_category_name_en_payment,0.0
1,item_category_name_en_cards,0.0
1,rolling_mean_3,0.0
1,rolling_mean_6,0.0
1,item_category_name_en_pc,0.0
1,shop_name_en_ii,0.0
1,item_category_name_en_ps2,0.0
1,shop_name_en_tc,0.0
1,Year,0.0
1,Month,0.0
1,shop_name_en_tc mega,0.0
1,shop_name_en_tc central,0.0
1,shop_name_en_shopping,0.0
1,item_category_name_en_game consoles,0.0
1,shop_name_en_tk,0.0
1,shop_name_en_trc,0.0
1,shop_name_en_mega,0.0
1,shop_name_en_mall,0.0
1,item_category_name_en_xbox 360,0.0
1,rolling_mean_12,0.0
1,shop_name_en_city,-1.1278478019854502e-05
1,item_category_name_en_books,-2.3714215655700024e-05
1,item_category_name_en_books audiobooks,-6.607384668835894e-05
1,shop_name_en_voronezh,-6.933177279494242e-05
1,item_category_name_en_xbox,-0.0001421235699408462
1,item_category_name_en_digital,-0.0001543344736052901
1,shop_name_en_sec,-0.0002560873662052832
1,item_cnt_day_lag10,-0.00027045496455609146
1,item_category_name_en_accessories,-0.0007144559032268208
2,item_cnt_day_lag1,0.44303731783183925
2,months_since_sale,0.39561941918512566
2,item_cnt_day_lag2,0.06476225797763108
2,item_cnt_day_lag3,0.01917320623076344
2,item_category_id,0.016093967100156373
2,shop_name_en_center,0.012896930303249097
2,shop_id,0.008490128268703661
2,item_cnt_day_lag4,0.008428662537158103
2,item_category_name_en_games pc,0.006024232329108931
2,item_cnt_day_lag6,0.005836158065103267
2,item_cnt_day_lag5,0.005599021394376403
2,item_cnt_day_lag7,0.0032964749527062773
2,item_cnt_day_lag8,0.0029844371186091246
2,shop_category,0.0017205345673693374
2,item_category_name_en_gifts,0.0011662313850606088
2,shop_name_en_moscow,0.0010700966685610763
2,item_category_name_en_music,0.0010609454138851972
2,item_cnt_day_lag9,0.0009261934278053971
2,item_category_name_en_games,0.0006263677498132141
2,item_category_name_en_xbox one,0.000567107503940368
2,item_cnt_day_lag12,0.000543787293924033
2,item_cnt_day_lag10,0.0004964088280425634
2,item_cnt_day_lag11,0.00048618884512906306
2,item_category_name_en_program,0.0004582398905595732
2,shop_name_en_voronezh,0.00032857853234791905
2,shop_name_en_shopping center,0.00024174234543055518
2,shop_name_en_moscow shopping,0.00023900145578073796
2,item_category_name_en_books,0.00023429124488203568
2,item_category_name_en_blu ray,0.0002340422730723679
2,item_category_name_en_payment cards,0.00023403650397417865
2,shop_name_en_sec,0.00022930037224693227
2,item_category_name_en_ps3,0.00022164125302008686
2,item_category_name_en_books audiobooks,7.679008775708703e-05
2,shop_name_en_sc,5.9611679103460365e-05
2,item_category_name_en_1c,4.473617535789085e-05
2,rolling_mean_6,3.505864580377015e-05
2,shop_name_en_trc,2.512936968664801e-05
2,rolling_mean_3,0.0
2,item_category_name_en_cards,0.0
2,item_category_name_en_payment,0.0
2,item_category_name_en_psp,0.0
2,item_category_name_en_psvita,0.0
2,item_category_name_en_figure,0.0
2,item_category_name_en_movies,0.0
2,item_category_name_en_pc,0.0
2,shop_name_en_ii,0.0
2,item_category_name_en_ps2,0.0
2,shop_name_en_tc,0.0
2,Year,0.0
2,Month,0.0
2,shop_name_en_tc mega,0.0
2,shop_name_en_tc central,0.0
2,shop_name_en_shopping,0.0
2,item_category_name_en_game consoles,0.0
2,shop_name_en_tk,0.0
2,shop_name_en_mega,0.0
2,shop_name_en_mall,0.0
2,rolling_mean_12,0.0
2,item_category_name_en_edition,-2.196506162489452e-05
2,shop_name_en_tyumen,-4.282138440651731e-05
2,item_category_name_en_xbox,-0.00010174115602175223
2,item_category_name_en_xbox 360,-0.00012758171040270033
