Feature,Importance
item_cnt_day_lag1,0.6801474395434057
item_cnt_day_lag2,0.1241820097898499
item_category_id,0.06843455606745569
shop_id,0.043775281544369986
item_cnt_day_lag3,0.02965840925392692
item_cnt_day_lag6,0.011182734659858775
item_cnt_day_lag4,0.007764680433424762
item_cnt_day_lag10,0.00755457753893097
item_cnt_day_lag8,0.0068323971157627445
item_cnt_day_lag5,0.006343343330964302
item_cnt_day_lag7,0.004738006873084241
item_cnt_day_lag12,0.004151128676558457
item_cnt_day_lag9,0.0031191432295968407
item_cnt_day_lag11,0.002116291942810673
Year,0.0
Month,0.0
